,Titulo,Tipo,Nuevo,Ubicacion,Precio,Precio en,total inmueble (m2),techado (m2),habitaciones,baños,parqueaderos
512,Proyecto La Reserva: Lujoso y amplio apartamento de 243m2 con 3 balcones,apartamento,True,"La Felicidad, Fontibón, Bogotá, Cundinamarca",2026,millones,243.0,207.0,4.0,3.0,
513,De 101.97m2 y 3 alcobas: Departamento cerca a universidades y colegios en Bello,apartamento,True,"Bello, Bello, Antioquia",501,millones,101.0,92.0,3.0,3.0,1.0
514,"Proyecto ""Latitud 26"": Apartamento en la Quinta Paredes",apartamento,True,"Quinta Paredes, Teusaquillo, Bogotá, Cundinamarca",187,millones,23.0,23.0,1.0,1.0,
515,Exclusivo apartamento de 84m2 con estudio en Suramérica Park,apartamento,True,"Suramerica, Itagui, Itagüí, Antioquia",453,millones,84.0,76.0,3.0,2.0,
516,"¡Para un estilo de vida urbano! Apartamento de 27 m² en proyecto ""Tuliv El Polo"", Barrios Unidos.",apartamento,True,"Barrios Unidos, Bogotá, Cundinamarca",249,millones,26.0,24.0,1.0,1.0,1.0
517,En Suba: Magnífico apartamento con balcón muy bien ubicado ,apartamento,True,"Sotavento, Bogotá, Bogota",563,millones,79.0,72.0,3.0,2.0,1.0
518,"Proyecto Nueva Colina DCHOME, el apartamento que buscabas en Bogotá",apartamento,True,"Bogotá, Bogotá, Cundinamarca",265,millones,44.0,44.0,2.0,2.0,
519,"¡Rodeado de naturaleza! Hermoso Apartamento en ""Felisa Condominium"", Envigado. ",apartamento,True,"Loma de Las Brujas - Calle de la Rioja, Envigado, Envigado, Antioquia",579,millones,84.0,77.0,2.0,2.0,
520,"Apartaestudio en proyecto AMAZONIA96, de 31m² en Chicó ",apartamento,True,"Chapinero, Bogotá, Cundinamarca",384,millones,31.0,26.0,1.0,1.0,1.0
521,"Apartamento de 58m2 con balcón en San Antonio de Pereira, Proyecto Canto",apartamento,True,"San Antonio De Pereira, Rionegro, Rionegro, Antioquia",347,millones,58.0,53.0,2.0,2.0,
522,¡Comodidad y estilo para tu vida! apartamento en el barrio La Castellana,apartamento,True,"La Castellana, Bogotá, Bogota",158,millones,19.0,19.0,1.0,1.0,
523,Apartamento tipo alcoba en exclusivo sector de la Quinta de Camacho,apartamento,True,"Quinta Camacho, Chapinero, Bogotá, Cundinamarca",326,millones,39.0,36.0,1.0,2.0,
524,Disfruta del apartamento que tú te mereces en Chicó,apartamento,True,"Chicó , Chapinero, Bogotá, Cundinamarca",1006,millones,105.0,94.0,2.0,2.0,2.0
525,"La Libertad: Apartamento con 3 alcobas en conjunto cerrado ""Atalaia"", Bosa",apartamento,True,"La Libertad, Bosa, Bogotá, Cundinamarca",173,millones,47.0,40.0,3.0,1.0,
526,Proyecto Canto trae un hermoso apartamento de 3 alcobas en San Antonio de Pereira,apartamento,True,"San Antonio De Pereira, Rionegro, Rionegro, Antioquia",457,millones,79.0,72.0,3.0,2.0,
527,Se vende apartamento en ciudad Jardín C.V,apartamento,True,"Pance \ Comuna 22, Cali, Cali, Valle del Cauca",860,millones,144.0,144.0,3.0,5.0,2.0
528,"Con excelente distribución, apartamento de 3 habitaciones en “Costa Azul”, Sector Toledo",apartamento,True,"/ Toledo, La Estrella, La Estrella, Antioquia",347,millones,68.0,64.0,3.0,2.0,
529,Apartamento con vista a la ciudad en genial proyecto FIDELENA PARK en Sabaneta,apartamento,True,"La Doctora, Sabaneta, Sabaneta, Antioquia",437,millones,81.0,76.0,3.0,2.0,1.0
530,¡Increíble Alternativa! “Costa Azul”: Apartamento con amplio balcón en Sector Toledo,apartamento,True,"/ Toledo, La Estrella, La Estrella, Antioquia",308,millones,57.0,52.0,2.0,2.0,
531,Vive tranquilo en Sabaneta: Todo lo que necesitas en un solo apartamento. ,apartamento,True,"Sabaneta, Sabaneta, Antioquia",614,millones,106.0,96.0,3.0,3.0,
532,Hermosa finca en Rozo (AE),apartamento,True,"Pance \ Comuna 22, Cali, Cali, Valle del Cauca",2000,millones,4000.0,500.0,6.0,4.0,13.0
533,"Ciudadela “Monteazul”, el proyecto que tiene magníficos apartamento en Sabaneta",apartamento,True,"Tres Esquinas, Sabaneta, Sabaneta, Antioquia",492,millones,87.0,80.0,3.0,2.0,
534,"¡El espacio ideal! en ""Atenas"": Apartamento en elegante edificio de Villamaría, Manizales",apartamento,True,"Villamaría , Manizales, Manizales, Caldas",245,millones,59.0,59.0,2.0,2.0,
535,Innovador apartamento de 62.21m2 con 2 alcobas en Centro Internacional,apartamento,True,"Santa Fe, Bogotá, Cundinamarca",475,millones,62.0,55.0,2.0,2.0,
536,"Apartamento en zona de alta valorización de Bogotá, centro Internacional",apartamento,True,"Santa Fe, Bogotá, Cundinamarca",241,millones,26.0,21.0,1.0,1.0,
537,"Vive rodeado de zonas verdes, moderno apartamento en Bogotá.",apartamento,True,"Quinta Paredes, Teusaquillo, Bogotá, Cundinamarca",964,millones,121.0,105.0,3.0,3.0,1.0
